UserId,ItemId
0,1369 3099 775 601 2336 2114 282 2471 1750 1466 372 283 2493 189 1348 1831 1487 2300 3010 506 1288 2186 2430 3031 3 935 781 1818 2143 182 86 1738 442 1180 862 136 217 106 762 2161 16 1020 67 257 1131 1739 1581 92 370 491 2152 1545 70
1,30 329 1375 357 1247 82 871 1995 50 647 2292 660 1 1519 1707 191 1555 260 1965 1077 2318 949 127 84 2845 819 2440 21 2421 351 254 387 93 1600 2661 217 1095 530 1421 4 839 701 3164 604 47 3036 142 793 2887 3179 1766 2 321 2664 103 664 248 31 1900 625 270 94 421 1909 1376 238 1046 2751 867 1350 1244 1813 702 1213 1085 694 137 2267 2463 2196 1879 66 1191 308 273 1093 509
2,2393 1015 1569 3060 1612 3171 2118 512 200 2200 428 459 2035 2063 418 1393 1319 2124 166 1771 1117 1977 1206 1001 2291 83 316 2857 1448 2410 56 2909 278 432 1265 340 1135 3149 551 98 1478 808 1967 539 1439 1544 1248 2603 2951 612 1942
3,314 565 1079 354 914 2412 106 1805 44 414 89 815 175 1741 26 904 485 2015 534 39 1821 3088 353 1262 1717 1936 1930 978 733 2035 881 3029 79 680 715 82 584 2649 604 415 1173 2528 2162 1198 1722 882 690 217 128 313 830 88 1112 691 622 2527 581 87 20 530 1107 136 683 1 374 186 919 2073 1243 150 574 1609 96
4,990 2685 415 129 174 410 2115 1498 987 3160 155 448 1683 2039 2022 978 386 2843 1346 106 698 1970 191 1284 59 690 2026 244 1654 39 82 2782 362 949 3025 816 2008 1422 512 271 375 976 3101 2204 694 94 3046 762 182 198 334
5,456 14 122 92 83 1692 0 862 15 2408 212 477 545 2043 1869 1650 297 300 43 564 848 1615 1 1045 406 1630 1031 148 1752 115 73 601 166 131 49 16 1174 3193 2055 60 41 126 264 2141 175 298 473 897 24 2164 426 9 3 1048 395 130 438 95 8 932 727 48 454 135 1261 1621
6,1382 1337 86 293 950 3016 2230 472 1045 970 1524 362 2253 1735 1424 1978 3045 437 1367 2599 603 588 952 1475 1541 163 115 961 212 1044 1373 1959 1436 162 1658 1793 610 284 561 108 918 2044 973 1012 663 144 2241 95 1290 526 3110 3008
7,757 2375 44 653 544 26 1169 887 71 928 175 1828 866 534 1076 1294 933 187 1954 2008 1558 362 2766 2022 370 2760 1657 429 346 353 853 1422 1940 485 1439 1364 2058 1258 1819 744 1084 1536 1531 862 763 1892 1780 1424 1284 1383 1630 1255 1914 1287 2632 2072 331 1911 649 2774 452 989 1211 1845 528 1668 1522 1493 517 2507 2812 2461 1844 1720 584 694 925 687 321 2278 503 23 177 77 2864 72 1517 2 2663 3048 2458 934 1758 2821 2988 678 1 84 60 295 2131 2143 1217 2674 28 97 369 95
8,197 84 2410 278 56 2318 2254 432 1402 2481 2257 2866 3149 170 876 2767 1164 2180 1337 1836 2056 3177 1671 519 2840 2951 1833 2324 516 377 1004 1745 2390 547 1525 156 2055 9 1751 49 1009 2271 305 1119 1864 2263 2176 1631 2634 2521 842 2199 1219 311 345 2629
9,1661 2446 713 1342 460 51 3101 768 1 2642 67 1358 84 117 2235 2488 1713 645 92 340 4 98 26 1106 1277 347 1497 138 136 1960 58 993 2531 1511 238 2512 3115 1238 442 1115 267 123 245 103 109 273 2559 2457 846 7 3011 1437 1144 2875
10,110 2107 712 427 257 1566 1464 919 873 1164 1153 1833 317 2157 790 87 287 1 43 516 2753 4 2918 63 1331 239 1556 2970 2428 2121 627 615 117 41 86 2380 595 495 107 1230 228 2982 1994 338 2716 972 508 2012 577 2620 564 2317 2805 2572 2662 1533 56 2492 614 2469 638 432 62 1340 1242 1553 2338 2895 1728 1893 2622 2202 405 1864 786 17 1067 1740 2519 1775 1063 1544 1014 947 2390 230 2877 1548 924 241 1534 1747 390 2959 1234 1218 1321 326 250 1412 1751 236 515 1339 708 813 21 67 2879 2994 2393 562 1001 585 1393 642 738 523 1478 2481 1319 208 27 740 2981 2757 601 1209 631 11 1726 428 1220 643 2254 633 2318 1232 9 274 161 2 1525 1430 1403 173 120 1279 378 1573 501 1276 860 833 2629 7 12 2530 100 796 1370 802 140 289
11,3166 943 513 636 983 44 543 106 779 1102 3196 2575 39 2557 565 1954 165 233 429 2831 2 838 1350 17 974 1511 82 817 1518 1003 415 744 1707 949 107 3105 622 1981 639 879 2741 88 201 1207 2765 11 243 98 1212 537 993 762 1419 2685 1984 421 1995 3021 1277 3005 666 186 1356 374 137 2292 2143 1126 238 2276 509 1323 2735 1432 129 541 1154 318
12,388 85 865 1432 422 1321 2661 387 2846 242 3075 1456 213 2213 191 93 1231 1803 1459 1766 145 20 2079 257 1223 155 105 36 1426 839 1188 2306 902 754 1 50 657 962 2887 1467 411 494 541 1271 278 205 1445 1000 2971 2471 243 270 1702 873 1923 1607 800 58 2086 84 4
13,768 1444 2844 185 3098 2024 2163 979 730 2831 1709 2769 347 2910 2750 762 1549 138 1110 321 3056 2564 993 1609 1394 1277 2623 1035 550 186 3085 163 442 2076 137 182 372 1754 18 507 1091 176 666 3067 5 318 855 441 179 2143 2540 826 2942
14,279 943 375 1346 2622 2 36 809 2928 47 2503 2347 11 88 693 1562 517 2034 2413 2235 2812 2113 67 2240 494 2889 2757 348 820 125 2735 243 1017 581 1566 2527 201 1109 33 386 2296 2702 230 526 2945 320 1453 431 1934 2125 1402 1 1497 321 1368 23 533 2153 1107 1419 2087 173 2014 30 1863 547 879 94 1931 730 2030 170 2698 22 123 55 2824 1540 86 1919 0 427 1203 497 2298 1514 562 554 2448 2994 1735 2802 721 267 410 122 265 357 2805 1283 8 189 752 574 76 139 1688 2147 160 6 785 479 1777 143 1490 1426 677 409 2582
